"Rectangle","long","lat","X","X.1","area","L.sqm","dummy"
"44E9",-0.5,57.75,NA,NA,"cw",2.30147174549254,2024
"44F0",0.5,57.75,NA,NA,"cw",0.041018954220717,2024
"44F1",1.5,57.75,NA,NA,"cw",0.0964373952450498,2024
"44F2",2.5,57.75,NA,NA,"ce",0.100736480744515,2024
"44F3",3.5,57.75,NA,NA,"ce",0.0882555642253934,2024
"44F4",4.5,57.75,NA,NA,"ce",0.0672644917704863,2024
"44F5",5.5,57.75,NA,NA,"ce",0.00354056258124235,2024
"44F6",NA,NA,NA,NA,"ce",0.00509810265728264,2024
"44F9",9.5,57.75,NA,NA,"ka",0.0274532315297852,2024
"44G0",10.5,57.75,NA,NA,"ka",0.148164226080354,2024
"44G1",11.5,57.75,NA,NA,"ka",0.062758759837724,2024
"45E6",-3.5,58.25,NA,NA,"cw",0.165547180966292,2024
"45E7",-2.5,58.25,NA,NA,"cw",0.259905531565052,2024
"45E8",-1.5,58.25,NA,NA,"cw",0.148277417511419,2024
"45E9",-0.5,58.25,NA,NA,"cw",0.06624789523071,2024
"45F0",0.5,58.25,NA,NA,"cw",0.239028358848598,2024
"45F1",1.5,58.25,NA,NA,"cw",0.121438383497189,2024
"45F2",2.5,58.25,NA,NA,"ce",0.0726430723270097,2024
"45F3",3.5,58.25,NA,NA,"ce",0.0102947892513355,2024
"45F4",4.5,58.25,NA,NA,"ce",0.0168645288205284,2024
"45F9",9.5,58.25,NA,NA,"ka",0.00493020339087718,2024
"45G0",10.5,58.25,NA,NA,"ka",0.0419802767867241,2024
"45G1",11.5,58.25,NA,NA,"ka",0.223592273840559,2024
"46E6",-3.5,58.75,NA,NA,"nw",0.0320639845326286,2024
"46E7",-2.5,58.75,NA,NA,"nw",0.439031590565945,2024
"46E8",-1.5,58.75,NA,NA,"nw",0.0190234881317148,2024
"46E9",-0.5,58.75,NA,NA,"nw",0.0308055657034976,2024
"46F0",0.5,58.75,NA,NA,"nw",0.0142691900448992,2024
"46F1",1.5,58.75,NA,NA,"nw",0.212194379404149,2024
"46F2",2.5,58.75,NA,NA,"ne",0.00796915395035446,2024
"46F3",3.5,58.75,NA,NA,"ne",0.0241632760777186,2024
"46G0",10.5,58.75,NA,NA,"ka",0.372347274810136,2024
"47E6",-3.5,59.25,NA,NA,"nw",0.0355771585657118,2024
"47E7",-2.5,59.25,NA,NA,"nw",0.350161291144107,2024
"47E8",-1.5,59.25,NA,NA,"nw",0.0264414267087378,2024
"47E9",-0.5,59.25,NA,NA,"nw",0.0498870550034527,2024
"47F0",0.5,59.25,NA,NA,"nw",0,2024
"47F1",1.5,59.25,NA,NA,"nw",0.00588642851557205,2024
"47F2",2.5,59.25,NA,NA,"ne",0.00707451130070701,2024
"47F3",3.5,59.25,NA,NA,"ne",0.00562106740257564,2024
"48E6",-3.5,59.75,NA,NA,"nw",0,2024
"48E7",-2.5,59.75,NA,NA,"nw",0.0136804046414167,2024
"48E8",-1.5,59.75,NA,NA,"nw",0.032068648704881,2024
"48E9",-0.5,59.75,NA,NA,"nw",0,2024
"48F0",0.5,59.75,NA,NA,"nw",0.00723120791116485,2024
"48F1",1.5,59.75,NA,NA,"nw",0,2024
"48F2",2.5,59.75,NA,NA,"ne",0.00778132877307337,2024
"48F3",3.5,59.75,NA,NA,"ne",0.00405327227332412,2024
"49E6",-3.5,60.25,NA,NA,"nw",0,2024
"49E7",-2.5,60.25,NA,NA,"nw",0.00645443154840411,2024
"49E8",-1.5,60.25,NA,NA,"nw",0,2024
"49E9",-0.5,60.25,NA,NA,"nw",0.00227365322478236,2024
"49F0",0.5,60.25,NA,NA,"nw",0.0048853466499576,2024
"49F1",1.5,60.25,NA,NA,"nw",0.00594624013072651,2024
"49F2",2.5,60.25,NA,NA,"ne",0,2024
"49F3",3.5,60.25,NA,NA,"ne",0,2024
"50E7",-2.5,60.75,NA,NA,"nw",0,2024
"50E8",-1.5,60.75,NA,NA,"nw",0,2024
"50E9",-0.5,60.75,NA,NA,"nw",0.0121439349038767,2024
"50F0",0.5,60.75,NA,NA,"nw",0,2024
"50F1",1.5,60.75,NA,NA,"nw",0,2024
"50F2",2.5,60.75,NA,NA,"ne",0,2024
"50F3",3.5,60.75,NA,NA,"ne",0,2024
"51E8",-1.5,61.25,NA,NA,"nw",0,2024
"51E9",-0.5,61.25,NA,NA,"nw",0,2024
"51F0",0.5,61.25,NA,NA,"nw",0,2024
"51F1",1.5,61.25,NA,NA,"nw",0.00368293213366416,2024
"51F2",2.5,61.25,NA,NA,"ne",0,2024
"52E9",-0.5,61.75,NA,NA,"nw",0,2024
"52F0",0.5,61.75,NA,NA,"nw",0,2024
"52F1",1.5,61.75,NA,NA,"nw",0,2024
"Rectangle","long","lat","X","X.1","area","L.sqm","dummy"
"32F1",1.5,51.75,NA,NA,"ch",0.00388144012582374,2024
"33F3",3.5,52.25,NA,NA,"ch",0.0374084210314518,2024
"33F4",4.5,52.25,NA,NA,"ch",0.0133605584114362,2024
"34F2",2.5,52.75,NA,NA,"ch",0.0373032501917729,2024
"34F3",3.5,52.75,NA,NA,"ch",0.302880224412889,2024
"34F4",4.5,52.75,NA,NA,"ch",0.020102765784595,2024
"35F0",0.5,53.25,NA,NA,"sw",0.0286280036790174,2024
"35F1",1.5,53.25,NA,NA,"sw",0.0380127518567864,2024
"35F2",2.5,53.25,NA,NA,"se",0.0540064055490206,2024
"35F3",3.5,53.25,NA,NA,"se",0.0355795027246071,2024
"35F4",4.5,53.25,NA,NA,"se",0.0217441387983077,2024
"36F0",0.5,53.75,NA,NA,"sw",0.0338216365371747,2024
"36F1",1.5,53.75,NA,NA,"sw",0.276954535059108,2024
"36F2",2.5,53.75,NA,NA,"se",0.090477777044386,2024
"36F3",3.5,53.75,NA,NA,"se",0.12867565603784,2024
"36F4",4.5,53.75,NA,NA,"se",0.0158052912195728,2024
"36F6",6.5,53.75,NA,NA,"se",0.0352649033507373,2024
"36F7",7.5,53.75,NA,NA,"se",0.041020583996449,2024
"37E9",-0.5,54.25,NA,NA,"sw",82.1312958397013,2024
"37F0",0.5,54.25,NA,NA,"sw",60.7732374217207,2024
"37F1",1.5,54.25,NA,NA,"sw",0.312840386530256,2024
"37F2",2.5,54.25,NA,NA,"se",0.063007296496735,2024
"37F3",3.5,54.25,NA,NA,"se",0.0295897324764057,2024
"37F4",4.5,54.25,NA,NA,"se",0.1302087339504,2024
"37F5",5.5,54.25,NA,NA,"se",0.805781247075604,2024
"37F6",6.5,54.25,NA,NA,"se",0.166296688264176,2024
"37F7",7.5,54.25,NA,NA,"se",0.0767825204444688,2024
"37F8",8.5,54.25,NA,NA,"se",0.0204354575072149,2024
"38E8",-1.5,54.75,NA,NA,"sw",7.8037969118548,2024
"38E9",-0.5,54.75,NA,NA,"sw",101.065251262091,2024
"38F0",0.5,54.75,NA,NA,"sw",5.84336236981651,2024
"38F1",1.5,54.75,NA,NA,"sw",0.0536096019902439,2024
"38F2",2.5,54.75,NA,NA,"se",0.0759627917188088,2024
"38F3",3.5,54.75,NA,NA,"se",0.146579208391771,2024
"38F4",4.5,54.75,NA,NA,"se",0.105027845531019,2024
"38F5",5.5,54.75,NA,NA,"se",0.0516794328314964,2024
"38F6",6.5,54.75,NA,NA,"se",0.246285387584235,2024
"38F7",7.5,54.75,NA,NA,"se",0.0242512263037869,2024
"38F8",8.5,54.75,NA,NA,"se",0.00177752884524372,2024
"39E8",-1.5,55.25,NA,NA,"sw",76.4017697846674,2024
"39E9",-0.5,55.25,NA,NA,"sw",0.11602862808076,2024
"39F0",0.5,55.25,NA,NA,"sw",0.169532425267544,2024
"39F1",1.5,55.25,NA,NA,"sw",0.0377100433903546,2024
"39F2",2.5,55.25,NA,NA,"se",0.0343500469820075,2024
"39F3",3.5,55.25,NA,NA,"se",0.0616037864087325,2024
"39F4",4.5,55.25,NA,NA,"se",0.203216046788013,2024
"39F5",5.5,55.25,NA,NA,"se",0.187315064756148,2024
"39F6",6.5,55.25,NA,NA,"se",0.266490090771724,2024
"39F7",7.5,55.25,NA,NA,"se",0.0639620162919886,2024
"40E8",-1.5,55.75,NA,NA,"cw",22.0091718672108,2024
"40E9",-0.5,55.75,NA,NA,"cw",0.0991372785842651,2024
"40F0",0.5,55.75,NA,NA,"cw",0.511072415518231,2024
"40F1",1.5,55.75,NA,NA,"cw",0.386315407126652,2024
"40F2",2.5,55.75,NA,NA,"ce",0.209157387259522,2024
"40F3",3.5,55.75,NA,NA,"ce",0.196786928846536,2024
"40F4",4.5,55.75,NA,NA,"ce",0.0931722086427961,2024
"40F5",5.5,55.75,NA,NA,"ce",0.0783841277737457,2024
"40F6",6.5,55.75,NA,NA,"ce",0.229416243610626,2024
"40F7",7.5,55.75,NA,NA,"ce",0.0812963751697917,2024
"41E7",-2.5,56.25,NA,NA,"cw",22.38628227583,2024
"41E8",-1.5,56.25,NA,NA,"cw",386.161001057491,2024
"41E9",-0.5,56.25,NA,NA,"cw",0.196878328599733,2024
"41F0",0.5,56.25,NA,NA,"cw",1.02720066271227,2024
"41F1",1.5,56.25,NA,NA,"cw",0.594688534027279,2024
"41F2",2.5,56.25,NA,NA,"ce",0.300208236153981,2024
"41F3",3.5,56.25,NA,NA,"ce",0.122772801511981,2024
"41F4",4.5,56.25,NA,NA,"ce",0.272711626048386,2024
"41F5",5.5,56.25,NA,NA,"ce",0.099302271132919,2024
"41F6",6.5,56.25,NA,NA,"ce",0.100088586551693,2024
"41F7",7.5,56.25,NA,NA,"ce",0.0440727390032135,2024
"41G0",10.5,56.25,NA,NA,"ka",0.0442151498768928,2024
"41G1",11.5,56.25,NA,NA,"ka",0.0807971941211137,2024
"41G2",12.5,56.25,NA,NA,"ka",0.0122862632935155,2024
"42E7",-2.5,56.75,NA,NA,"cw",0.0570922911626174,2024
"42E8",-1.5,56.75,NA,NA,"cw",14.4424834106788,2024
"42E9",-0.5,56.75,NA,NA,"cw",0.2051273290983,2024
"42F0",0.5,56.75,NA,NA,"cw",0.44781684395348,2024
"42F1",1.5,56.75,NA,NA,"cw",0.194869411837907,2024
"42F2",2.5,56.75,NA,NA,"ce",0.27425935258538,2024
"42F3",3.5,56.75,NA,NA,"ce",0.195791146606421,2024
"42F4",4.5,56.75,NA,NA,"ce",0.141873671273886,2024
"42F5",5.5,56.75,NA,NA,"ce",0.153549578252378,2024
"42F6",6.5,56.75,NA,NA,"ce",0.113035731487778,2024
"42F7",7.5,56.75,NA,NA,"ce",0.016940237356182,2024
"42G1",11.5,56.75,NA,NA,"ka",0.0301961500597459,2024
"42G2",12.5,56.75,NA,NA,"ka",0.0336401528710217,2024
"43E8",-1.5,57.25,NA,NA,"cw",311.524222748177,2024
"43E9",-0.5,57.25,NA,NA,"cw",14.706418875099,2024
"43F0",0.5,57.25,NA,NA,"cw",0.374930608789844,2024
"43F1",1.5,57.25,NA,NA,"cw",0.395367053171799,2024
"43F2",2.5,57.25,NA,NA,"ce",0.0828797466745176,2024
"43F3",3.5,57.25,NA,NA,"ce",0.0755624995204192,2024
"43F4",4.5,57.25,NA,NA,"ce",0.124998197881826,2024
"43F5",5.5,57.25,NA,NA,"ce",0.0284104051466671,2024
"43F6",6.5,57.25,NA,NA,"ce",0.0363477041237889,2024
"43F7",7.5,57.25,NA,NA,"ce",0.0155701476990098,2024
"43F8",8.5,57.25,NA,NA,"ce",0.0049749312157879,2024
"43F9",9.5,57.25,NA,NA,"ka",0.00346709611498908,2024
"43G1",11.5,57.25,NA,NA,"ka",0.0761896406212253,2024
"43G2",12.5,57.25,NA,NA,"ka",0.00659133737938521,2024
"44E6",-3.5,57.75,NA,NA,"cw",0.138593045676582,2024
"44E7",-2.5,57.75,NA,NA,"cw",0.186856027881816,2024
"44E8",-1.5,57.75,NA,NA,"cw",12.4112684135064,2024
"44E9",-0.5,57.75,NA,NA,"cw",2.30147174549254,2024
"44F0",0.5,57.75,NA,NA,"cw",0.041018954220717,2024
"44F1",1.5,57.75,NA,NA,"cw",0.0964373952450498,2024
"44F2",2.5,57.75,NA,NA,"ce",0.100736480744515,2024
"44F3",3.5,57.75,NA,NA,"ce",0.0882555642253934,2024
"44F4",4.5,57.75,NA,NA,"ce",0.0672644917704863,2024
"44F5",5.5,57.75,NA,NA,"ce",0.00354056258124235,2024
"44F6",NA,NA,NA,NA,"ce",0.00509810265728264,2024
"44F9",9.5,57.75,NA,NA,"ka",0.0274532315297852,2024
"44G0",10.5,57.75,NA,NA,"ka",0.148164226080354,2024
"44G1",11.5,57.75,NA,NA,"ka",0.062758759837724,2024
"45E6",-3.5,58.25,NA,NA,"cw",0.165547180966292,2024
"45E7",-2.5,58.25,NA,NA,"cw",0.259905531565052,2024
"45E8",-1.5,58.25,NA,NA,"cw",0.148277417511419,2024
"45E9",-0.5,58.25,NA,NA,"cw",0.06624789523071,2024
"45F0",0.5,58.25,NA,NA,"cw",0.239028358848598,2024
"45F1",1.5,58.25,NA,NA,"cw",0.121438383497189,2024
"45F2",2.5,58.25,NA,NA,"ce",0.0726430723270097,2024
"45F3",3.5,58.25,NA,NA,"ce",0.0102947892513355,2024
"45F4",4.5,58.25,NA,NA,"ce",0.0168645288205284,2024
"45F9",9.5,58.25,NA,NA,"ka",0.00493020339087718,2024
"45G0",10.5,58.25,NA,NA,"ka",0.0419802767867241,2024
"45G1",11.5,58.25,NA,NA,"ka",0.223592273840559,2024
"46E6",-3.5,58.75,NA,NA,"nw",0.0320639845326286,2024
"46E7",-2.5,58.75,NA,NA,"nw",0.439031590565945,2024
"46E8",-1.5,58.75,NA,NA,"nw",0.0190234881317148,2024
"46E9",-0.5,58.75,NA,NA,"nw",0.0308055657034976,2024
"46F0",0.5,58.75,NA,NA,"nw",0.0142691900448992,2024
"46F1",1.5,58.75,NA,NA,"nw",0.212194379404149,2024
"46F2",2.5,58.75,NA,NA,"ne",0.00796915395035446,2024
"46F3",3.5,58.75,NA,NA,"ne",0.0241632760777186,2024
"46G0",10.5,58.75,NA,NA,"ka",0.372347274810136,2024
"47E6",-3.5,59.25,NA,NA,"nw",0.0355771585657118,2024
"47E7",-2.5,59.25,NA,NA,"nw",0.350161291144107,2024
"47E8",-1.5,59.25,NA,NA,"nw",0.0264414267087378,2024
"47E9",-0.5,59.25,NA,NA,"nw",0.0498870550034527,2024
"47F0",0.5,59.25,NA,NA,"nw",0,2024
"47F1",1.5,59.25,NA,NA,"nw",0.00588642851557205,2024
"47F2",2.5,59.25,NA,NA,"ne",0.00707451130070701,2024
"47F3",3.5,59.25,NA,NA,"ne",0.00562106740257564,2024
"48E6",-3.5,59.75,NA,NA,"nw",0,2024
"48E7",-2.5,59.75,NA,NA,"nw",0.0136804046414167,2024
"48E8",-1.5,59.75,NA,NA,"nw",0.032068648704881,2024
"48E9",-0.5,59.75,NA,NA,"nw",0,2024
"48F0",0.5,59.75,NA,NA,"nw",0.00723120791116485,2024
"48F1",1.5,59.75,NA,NA,"nw",0,2024
"48F2",2.5,59.75,NA,NA,"ne",0.00778132877307337,2024
"48F3",3.5,59.75,NA,NA,"ne",0.00405327227332412,2024
"49E6",-3.5,60.25,NA,NA,"nw",0,2024
"49E7",-2.5,60.25,NA,NA,"nw",0.00645443154840411,2024
"49E8",-1.5,60.25,NA,NA,"nw",0,2024
"49E9",-0.5,60.25,NA,NA,"nw",0.00227365322478236,2024
"49F0",0.5,60.25,NA,NA,"nw",0.0048853466499576,2024
"49F1",1.5,60.25,NA,NA,"nw",0.00594624013072651,2024
"49F2",2.5,60.25,NA,NA,"ne",0,2024
"49F3",3.5,60.25,NA,NA,"ne",0,2024
"50E7",-2.5,60.75,NA,NA,"nw",0,2024
"50E8",-1.5,60.75,NA,NA,"nw",0,2024
"50E9",-0.5,60.75,NA,NA,"nw",0.0121439349038767,2024
"50F0",0.5,60.75,NA,NA,"nw",0,2024
"50F1",1.5,60.75,NA,NA,"nw",0,2024
"50F2",2.5,60.75,NA,NA,"ne",0,2024
"50F3",3.5,60.75,NA,NA,"ne",0,2024
"51E8",-1.5,61.25,NA,NA,"nw",0,2024
"51E9",-0.5,61.25,NA,NA,"nw",0,2024
"51F0",0.5,61.25,NA,NA,"nw",0,2024
"51F1",1.5,61.25,NA,NA,"nw",0.00368293213366416,2024
"51F2",2.5,61.25,NA,NA,"ne",0,2024
"52E9",-0.5,61.75,NA,NA,"nw",0,2024
"52F0",0.5,61.75,NA,NA,"nw",0,2024
"52F1",1.5,61.75,NA,NA,"nw",0,2024
